"fid","type","year","place"
"LYYR-YLM","Birth","1027","Vouvant,Vendee,Pays-de-la-Loire,France."
"G21X-QSB","Birth","1005","France"
"G216-BG4","Birth","1020","France"
"G21X-963","Birth","1035","Le Fay, Indre-et-Loire, Centre, France"
"GKYL-XVY","Birth","1065","Vendôme, Loir-et-Cher, Centre, France"
"GSD9-CGG","Birth","1060","Saint-Maixent-sur-Vie, Vendée, Pays-de-la-Loire, France"
"GSD9-DPY","Birth","1060",NA
"KZ8K-F6C","Birth","1050","Pouzauges, Vendée, Pays de la Loire, France"
"KHZZ-TLD","Birth","1060",NA
"L62K-GNK","Birth","1010","Sillé-le-Guillaume, Sarthe, Pays de la Loire, France"
"G2VK-D7N","Birth of Child","1040","Sillé-le-Guillaume, Sarthe, Pays de la Loire, France"
"LYVL-FL3","Birth","1055","Châteaubriand, Loire-Atlantique, Pays de la Loire, France"
"9CM5-5JM","Birth","1030","Conteville, Somme, Picardie, France"
"MR2F-BD1","Birth","1030","of,,Normandy,France"
"MR2F-BJR","Birth","1030",", NORMANDY, FR"
"GPMM-R43","Birth","1055","Between 1044 and 1055"
"GPMK-5J9","Birth","1070",NA
"GPM9-876","Birth","1060","Herzele,9550,West-Vlaanderen,Vlaanderen,BELGIQUE/BELGIË,"
"GW59-1TQ","Birth","1060","Rode Sluis,4524,,Zeeland,NEDERLAND,"
"GP98-9TV","Birth","1081","Longueval, Somme, Picardie, France"
"GP98-LB5","Birth","1094","Heilly, Somme, Picardie, France"
"L2YR-1GH","Birth","1098","Péronne, Somme, Picardie, France"
"L2Y4-LQM","Birth","1105","Raincheval, Somme, Picardie, France"
"GM75-ZGF","Birth","1093","Acheux-en-Amiénois, Somme, Hauts-de-France, France"
"L2TG-TRF","Birth","1109","Péronne, Somme, Hauts-de-France, France"
"L2TG-TBN","Birth","1093","Hacquegnies, Hainaut, Belgium"
"LRCL-NXW","Birth","1113","Pas-en-Artois, France"
"G9SM-ZF3","Birth","1126","Heilly, Somme, Hauts-de-France, France"
"LRCT-V58","Birth","1119","Bus-lès-Artois, France"
"L2TT-SB3","Birth","1133","France"
"LRC2-WQD","Birth","1098","Sarton, 62779, Pas de Calais, Nord-Pas-de-Calais, France"
"LRC2-346","Birth","1105","Habarcq, Pas-de-Calais, Hauts-de-France, France"
"KZJZ-RT5","Birth","1042","Chantille, Oise, France"
"949K-TSH","Birth","1042","Of,,,France"
"GZFL-P2D","Birth","1010",NA
"GZFL-LMX","Birth of Child","1040",NA
"LTGN-6JY","Birth","1100","Mirepoix, Ariège, Occitanie, France"
"G9W4-ZR3","Birth","1120","Monfort, Condom, Gers, Occitanie, France"
"GQG1-9W1","Birth","1107","Beaujeu, Rhône, Auvergne-Rhône-Alpes, France"
"GW1C-YD3","Birth","1105","Sully-sur-Loire, Loiret, Centre-Val de Loire, France"
"G4W8-JG7","Birth","1108","Beaugency, Loiret, Centre-Val de Loire, France"
"G2QT-G26","Birth","1043",NA
"G2SN-YPS","Birth","1060","Perrigny, Yonne, Bourgogne, France"
"G2SJ-C9Q","Birth","1050",NA
"G29L-2H6","Birth","1070",NA
"9HV7-1JC","Birth","1070","Roche-en-Régnier, Haute-Loire, Auvergne, France"
"9HV7-W9P","Birth","1080","Saint-Nazaire-en-Royans, Drôme, Auvergne-Rhône-Alpes, France"
"G2QR-T9M","Birth","1040",NA
"G2SQ-CS8","Birth","1060",NA
"GWVJ-8F4","Birth","1075","France"
"GWVJ-Z1W","Birth","1080","France"
"GZ5R-J6W","Birth","1050","Égletons, Ussel, Corrèze, Nouvelle-Aquitaine, France"
"GZ5R-HRV","Birth","1050",", , , France"
"G49N-23J","Birth","1054","France"
"LB7T-41J","Birth","1068","Montberon, Toulouse, Haute-Garonne, Occitanie, France"
"K2VJ-NVN","Birth","1090","Chabanais, Charente, Nouvelle-Aquitaine, France"
"KHW9-278","Birth","1090","Saint-Germain-de-Montgommery, Lisieux, Calvados, Basse-Normandie, France"
"L9HM-G6F","Birth","1085","Marmande, Lot-et-Garonne, Nouvelle-Aquitaine, France"
"L9HS-492","Birth","1095","Fresnes, Yonne, Bourgogne-Franche-Comté, France"
"G68R-8W8","Birth",NA,"Périgueux, Dordogne, Nouvelle-Aquitaine, France"
"GZLT-5XP","Birth","1095",NA
"GZLT-RVR","Birth","1120","Montsoreau, Maine-et-Loire, Pays de la Loire, France"
"GZLT-6NH","Birth","1120",", , , France"
"GZLT-KK1","Birth","1070","Lamarque, Lesparre-Médoc,  Gironde, Nouvelle-Aquitaine, France"
"KH4Y-WLF","Birth","1035","Moustier-Ventadour, Corrèze, Limousin, France"
"LT8P-LN6","Birth","1057","Limoges, Haute-Vienne, Limousin, France"
"GZR9-SNM","Birth","1065","Bourbon-l'Archambault, Allier, Auvergne-Rhône-Alpes, France"
"L121-YTW","Birth","1066","Bourbon-l'Archambault, Allier, Auvergne-Rhône-Alpes, France"
"GK8V-4BB","Birth","1055",NA
"GKCD-J3X","Birth","1045","France"
"K4YS-FNK","Birth","1085","Prudhomat, Lot, Occitanie, France"
"GD4Q-C73","Birth","1089","Châteldon, Puy-de-Dôme, Auvergne-Rhône-Alpes, France"
"GKSZ-SRK","Death of Parent","1067","Angers Maine-et-Loire France"
"L82M-WWS","Birth","1110","France"
"LKQ6-ZQ4","Birth","1100","France"
"9CHH-NFL","Birth","1072","Semur-en-Brionnais, Saône-et-Loire, Bourgogne, France"
"L1Q8-2RR","Birth","1080","Pas-de-Calais, France"
"GJT6-VZW","Birth","1045","Rozoy-sur-Serre, Aisne, Picardie, France"
"G7CB-QKG","Birth","0980","France"
"G89B-1R2","Birth","0985","France"
"GZHN-46N","Birth",NA,"Gistel,8470,Oost-Vlaanderen,Vlaanderen,BELGIQUE/BELGIË,"
"GDTF-7SH","Birth","1080",NA
"GLYZ-N1C","Birth","1055","St Venant, Pas-de-Calais, Nord-Pas-de-Calais, France"
"GLYZ-CBG","Birth","1045","St Venant, Pas-de-Calais, Nord-Pas-de-Calais, France"
