"fid","place_birth_lat","place_birth_lon","place_birth","place_death_lat","place_death_lon","place_death"
"GGGZ-G37","56.25","-5.25","Lochow, Argyllshire, Scotland","55.96666","-4.2","Lennox Castle, Inchmurrin Island in Loch Lomond, Dumbartonshire, Scotland"
"GLK2-YMD","55.86667","-3.06667","Dalkeith, Midlothian, Scotland",NA,NA,NA
"GL8T-ZLJ","55.3142","-3.7457","Durisdeer, Dumfriesshire, Scotland","56.81674","-4.18396","Scotland"
"GZZG-PYF","52.05841","-2.14101","Strensham, Worcestershire, England","50.613","-2.457","Weymouth, Dorset, England"
"GZZG-5X4","50.612","-2.0591","Kingston, Dorset, England",NA,NA,NA
"GZZP-MLD",NA,NA,NA,NA,NA,NA
"GG89-TCT",NA,NA,NA,NA,NA,NA
"LXWS-SCL","53.56139","-2.3268","Radcliffe, Lancashire, England","50.7188","-2.5943","Kingston Russell, Dorset, England"
"G6FP-62Z","50.6775","-4.1902","Thrushelton, Devon, England","50.55","-4.25","Sydenham Damerel, Devon, England, United Kingdom"
"G8YC-8G8","50.48333","-4.05","Meavy, Devon, England","50.73646","-3.71887","Devon, England"
"G8YC-HSM","50.73646","-3.71887","Stottiscombe, Devon, England, United Kingdom","50.73646","-3.71887","Devon, England, United Kingdom"
"LV5F-B6Z","50.73646","-3.71887","Devon, England","50.5647","-4.237","Sydenham Damerel, Devon, England"
"G7R9-X8V","50.71246","-3.71408","Great Fulford, Devonshire, England","50.71246","-3.71408","Great Fulford, Devonshire, England"
"GZ79-DBC","51.1648","-3.3087","Williton, Somerset, England","50.71246","-3.71408","Great Fulford, Devon, England"
"G6PC-QGY","50.3698","-3.6136","Dittisham, Devon, England","50.3839","-3.6032","Dittisham, Devon, England, United Kingdom"
"GNCY-QKD","50.73646","-3.71887","Sheepham, Modbury Parish, Devon, England","50.73333","-3.9","South Tawton, Devon, England, United Kingdom"
"G7TT-MJL","50.80862","-1.55112","New Forest, Hampshire, England, United Kingdom",NA,NA,NA
"GXJY-23J","52.4379","-1.6496","England",NA,NA,NA
"LDQF-685","53.1637","-1.4778","Ashover, Derbyshire, England","53.85","-1.26667","Towton, Yorkshire, England"
"LDQF-6DK","52.60255","0.35135","Crimplesham, Downham Market, Norfolk, England",NA,NA,NA
"KCXM-L2V","53.0167","-1.7333","Ashbourne, Derbyshire, England","52.4379","-1.6496","England"
"LY53-V4J","52.4379","-1.6496","England",NA,NA,NA
"G63H-RFF","53.06666","-2.45","Shavington cum Gresty, Cheshire, England","53.06666","-2.45","Shavington cum Gresty, Cheshire, England"
"LZRK-DJ2","53.18333","-2.48333","Stanthorne, Cheshire, England","53.5725","-2.6934","Shevington, Lancashire, England"
"G66W-NNL","53.02703","-2.46445","Hatherton, Cheshire, England",NA,NA,NA
"KH9Q-PHW","53.02703","-2.46445","Hatherton, Cheshire, England","52.4379","-1.6496","England"
"G8L5-5JH","50.25116","-5.06676","Corthither, Cornwall, England","50.25116","-5.06676","Cornwall, England"
"GF2R-RZ6","50.25116","-5.06676","Tournay, Cornwall, England","52.4379","-1.6496","England"
"GMWN-1YD",NA,NA,NA,NA,NA,NA
"G4TQ-JGT","51.11974","-2.9","Somerset, England",NA,NA,NA
"GXBG-2YX",NA,NA,NA,NA,NA,NA
"GXBG-QBT",NA,NA,NA,NA,NA,NA
"G77J-MPS","52.4379","-1.6496","England, United Kingdom",NA,NA,NA
"GZ5Z-VNK","50.1825","-5.1217","St Gluvias, Cornwall, England","50.2172","-4.9853","Philleigh, Cornwall, England"
"LW4W-XV1","50.2172","-4.9853","Philleigh, Cornwall, England",NA,NA,NA
"LVYD-383","53.15307","-0.86092","Norwell, Nottinghamshire, England","51.45327","-0.23476","Putney, Surrey, England"
"LZ8D-6D7","53.13334","-0.85","Norwell, Nottinghamshire, England","53.16736","-0.82069","Carlton on Trent, Nottinghamshire, England"
"GG4R-L56","52.67827","0.97259","Norfolk, England","52.64485","0.68","Swaffham, Norfolk, Inglaterra, Reino Unido, England"
"GMMZ-DT2","52.64485","0.68","Swaffham, Norfolk, England",NA,NA,NA
"GSM2-D5R","52.61359","-2.85361","Castle-Pulverbatch, Shropshire, England, United Kingdom","52.0273","0.0408","Barley, Hertfordshire, England"
"GSM2-ZZZ","52.4379","-1.6496","England","52.23342","-2.21245","Spechley, Worcestershire, England"
"G3QR-Z3W","51.51","-0.12","London, Middlesex, England","51.6023","-0.6458","Beaconsfield, Buckinghamshire, England"
"L1KY-4ND","51.4735","-0.5428","Horton, Buckinghamshire, England","52.4379","-1.6496","England"
"GZ59-NGH","51.38207","-0.98877","Berkshire, England","51.508","-0.7007","Bray, Berkshire, England"
"GLXP-F61","51.4818","-0.8513","Ruscombe, Berkshire, England","51.49","-0.71","Bray Hundred, Berkshire, England"
"LDDT-G5V","51.5072","-0.6093","Chalvey, Buckinghamshire, England","51.5072","-0.6093","Chalvey, Buckinghamshire, England"
