"fid","ascendancy"
"MMY8-ZQC",643719
"GQ5V-F31",643784
"LRXG-F65",643824
"G8F5-LS8",643826
"G8FR-9CN",643827
"LD5M-NM8",643832
"LK29-5V7",643833
"GKBK-8J1",643834
"GKBK-42T",643835
"GQ5V-F31",643848
"LRXG-F65",643888
"G8F5-LS8",643890
"G8FR-9CN",643891
"LD5M-NM8",643896
"LK29-5V7",643897
"GKBK-8J1",643898
"GKBK-42T",643899
"GWZ4-M1B",643936
"GM52-QYR",643937
"GWXF-SMF",644096
"937V-DD8",644097
"93QT-RN8",644098
"93Q4-33T",644099
"GSND-6SG",644100
"GSN8-1DY",644101
"GSN8-CRP",644102
"M6WX-JY8",644104
"GXYN-111",644105
"LR67-7G6",644866
"GGXW-YJ2",644872
"LZJL-5KC",644873
"GD5S-JZN",644874
"GD9M-D3G",644875
"GVSX-339",644876
"G2NP-GFM",644877
"LDM6-FTW",644878
"L8YJ-DM2",644879
"L2LM-2SJ",645632
"LR2P-N6M",645633
"LTJK-JJX",645634
"GLVZ-W8R",645635
"M3PP-1XJ",645640
"M3PP-1F3",645641
"M3PP-1NL",645642
"M3PP-1J9",645643
"LTMC-Q64",645656
"KF2Y-SYT",645657
"G9RD-PHD",645658
"G9RD-PGJ",645659
"GGHS-TMB",645894
"G2Q2-MH9",645896
"KP3L-BB4",645897
"GJ3Y-K84",645898
"L63D-1QP",645899
"GDC3-LPH",645900
"GNV8-CQ6",645904
"GNV8-WDJ",645905
"LYMV-DS8",645906
"G83B-MQT",645907
"LB9H-K9C",645908
"GGQ6-TZ8",645909
"KJBY-YZZ",645910
"KLQM-TRF",645911
"27DJ-1JF",645912
"LWFJ-354",645913
"MNCX-2KP",645916
"MNCX-224",645917
"GC9Z-4B7",645918
"GC9Z-6YW",645919
"G8BQ-HRS",645920
"LB1B-F94",645921
"G9WR-GDY",645922
"LZ2C-MKT",645923
"LYT7-72J",645924
"G2T3-H3L",645925
"GL6J-198",645926
"GVX1-36H",645927
"LHC8-1SP",645928
"GMWH-5SK",645929
"LBWX-SD1",645930
"2993-Y8D",645931
"LVTD-FCX",645932
"9JH4-GFK",645933
"GZTW-RC5",645934
"LKZ6-49X",645935
"GSJ2-V27",645936
"G9P7-W1B",645937
"9DTB-Z3H",645938
"LDY2-RJH",645939
"LDB2-BGB",645940
"LRMF-7LQ",645941
"29Y4-1CJ",645942
"LTKB-Q6P",645943
"GZZG-XVQ",645944
"GKXD-TKY",645945
"GM31-DRM",645946
"G9CP-K53",645947
"L838-FS1",645948
"GXFZ-B3P",645949
"L13Z-354",645950
"9VMZ-3KK",645951
"GL2Z-ZRH",646016
"LHW2-PY7",646017
"KGKV-M2Z",646018
"KGKV-MGP",646019
"GX1B-6ZX",646656
"GX63-75N",646657
"G89W-Q7R",646658
"LZLC-Y69",646659
"G3RG-BD6",646660
"GWZ2-LGX",646661
"9CNP-X5S",646662
"LBRQ-TTG",646663
"LVH6-1LY",646668
"LZS9-RJK",646669
"L52D-JCW",646670
"GHPL-1BW",646671
"GZM8-6YR",646676
"2Z32-W8W",646677
"GSTQ-4WL",646678
"GZM8-CKN",646679
"LXQ7-RSR",646680
"G9R2-FBJ",646681
"LHFD-DTB",646720
"LDZ2-5DY",646721
"GJTT-ZSW",646722
"G88L-6P1",646723
"MC7B-8TY",646728
"LV42-787",647072
"LTRJ-48B",647073
"MXNX-PHW",647075
"LCTV-Q8P",647076
"M1XM-ZKR",647077
"GQBL-6JD",647078
"GQ17-X2D",647079
"LVN1-XB3",1286144
"GMZD-YML",1286145
"GN8Y-7XC",1286146
"KHYN-55B",1286147
"GCTV-VZJ",1286148
"G9FB-KVQ",1286149
"GZV8-H1H",1286150
"G3YQ-YBN",1286224
"G91M-NWB",1286225
"G3WH-VQF",1286226
"LK1D-LPZ",1286227
"GQCS-FG2",1286228
"GQCS-D6X",1286229
