"ascendency","id","gender","gen"
7268,"LCY7-618","Male",13
7269,"L1C6-VBZ","Female",13
7270,"M9DB-TRM","Male",13
7271,"FYFQ-6H2","Female",13
7280,"GGCJ-VX7","Male",13
7281,"24RL-5Q2","Female",13
7282,"GGCJ-7H9","Male",13
7284,"LCJ5-6PN","Male",13
7285,"LHKG-3ZH","Female",13
7286,"LBCZ-J6B","Male",13
7287,"933D-4PJ","Female",13
7288,"LK39-14C","Male",13
7289,"L45Q-PJK","Female",13
7290,"MBBB-BKL","Male",13
7291,"MM91-C2D","Female",13
7292,"LTB1-VV8","Male",13
7293,"KNSK-V13","Female",13
7294,"L8M2-Z6D","Male",13
7295,"GM1J-YXT","Female",13
7456,"GQKS-ZQN","Male",13
7458,"GG26-MNK","Male",13
7459,"MVSH-1H7","Female",13
7460,"LK89-7CM","Male",13
7461,"GZD2-3L7","Female",13
7464,"278V-D5D","Male",13
7465,"KNS6-8YW","Female",13
7468,"LTFH-N5K","Male",13
7469,"GVCH-8FT","Female",13
7470,"LY1X-KMN","Male",13
7471,"LY1X-DN8","Female",13
7472,"LB5C-CBK","Male",13
7473,"98KF-K7W","Female",13
7474,"MFY6-X1V","Male",13
7475,"LH1P-P48","Female",13
7476,"KVV9-MND","Male",13
7477,"LHDW-Z13","Female",13
7478,"LT9K-4M5","Male",13
7479,"LT71-BBB","Female",13
7484,"MVLJ-KYX","Male",13
7485,"LH6L-3CG","Female",13
7486,"LZCT-RN4","Male",13
7487,"MTMV-LGC","Female",13
7488,"GX7M-P5C","Male",13
7489,"GCRR-39Y","Female",13
7492,"LVP9-TDH","Male",13
7493,"KNZF-7ZP","Female",13
7494,"KFP8-VXB","Male",13
7495,"9CH3-3YK","Female",13
7496,"LTQL-SY2","Male",13
7497,"LT65-PG5","Female",13
7498,"LTL9-6VH","Male",13
7499,"L517-J2S","Female",13
7500,"LCB4-7MY","Male",13
7501,"LJLW-DVT","Female",13
7502,"L2RY-RMS","Male",13
7503,"MFLL-CQP","Female",13
7510,"2CNY-4TZ","Male",13
7511,"GDYP-K8G","Female",13
7512,"L63C-KFW","Male",13
7513,"L5RT-5TP","Female",13
7516,"LTX1-CZJ","Male",13
7517,"M5SX-ZVF","Female",13
7518,"LZNS-L5L","Male",13
7519,"MKPS-LJ3","Female",13
7520,"LZK4-BRS","Male",13
7521,"LVGD-JJP","Female",13
7522,"LZRJ-2PV","Male",13
7523,"LDBK-GW7","Female",13
7524,"LH76-9Q9","Male",13
7525,"L626-CWF","Female",13
7526,"LY9V-M9Q","Male",13
7527,"GLHH-P7Z","Female",13
7530,"KL13-5W8","Male",13
7531,"KL13-5ZM","Female",13
7532,"GMHV-VNV","Male",13
7533,"LZNL-4RQ","Female",13
7534,"K2DX-514","Male",13
7535,"G8VN-TVM","Female",13
7542,"2CNY-4TZ","Male",13
7543,"GDYP-K8G","Female",13
7544,"L63C-KFW","Male",13
7545,"L5RT-5TP","Female",13
7548,"LTX1-CZJ","Male",13
7549,"M5SX-ZVF","Female",13
7550,"LZNS-L5L","Male",13
7551,"MKPS-LJ3","Female",13
7552,"GVGS-74R","Male",13
7553,"GG5T-8FV","Female",13
7554,"LKDR-T8Y","Male",13
7555,"LZ84-Y7B","Female",13
7556,"M16R-BBB","Male",13
7557,"LCRJ-Z2J","Female",13
7558,"LHXC-PKG","Male",13
7559,"LHFX-3Q6","Female",13
7560,"M16R-BBB","Male",13
7561,"LCRJ-Z2J","Female",13
7562,"LHXC-PKG","Male",13
7563,"LHFX-3Q6","Female",13
7616,"LZR3-NY6","Male",13
7617,"M4YQ-FPY","Female",13
7618,"2M5Y-XNY","Male",13
7619,"L6S9-86J","Female",13
7620,"KN84-VTZ","Male",13
7621,"LCZQ-JN5","Female",13
7622,"L66T-8Z1","Male",13
7623,"LB4Q-H2M","Female",13
7630,"LZJ2-X2F","Male",13
7631,"LTRK-J6N","Female",13
7632,"GLMW-QP8","Male",13
7633,"GV2N-LWM","Female",13
7636,"LDNL-V86","Male",13
7637,"MPRQ-SB2","Female",13
7638,"M3M4-FBR","Male",13
7639,"LC6G-R4M","Female",13
7640,"K6MW-MPX","Male",13
7641,"LRT7-RNL","Female",13
7642,"GLQH-NXS","Male",13
7644,"LHX6-Y3R","Male",13
7645,"9M1J-RT8","Female",13
7646,"LRQS-P26","Male",13
7647,"G41Z-P5J","Female",13
7680,"L6MN-76J","Male",13
7681,"GQJ5-H17","Female",13
7682,"L6ZM-DCH","Male",13
7683,"2472-Q4C","Female",13
7696,"LHRG-PTG","Male",13
7697,"LD7H-L2H","Female",13
7698,"21JK-MZN","Male",13
7699,"LVDK-9G8","Female",13
7704,"L6MN-76J","Male",13
7705,"GQJ5-H17","Female",13
7706,"L6ZM-DCH","Male",13
7707,"2472-Q4C","Female",13
7712,"LHDY-HGC","Male",13
7713,"L4WY-B1K","Female",13
7716,"LT4P-JB6","Male",13
7717,"KFYH-4DB","Female",13
7718,"LBHC-1GB","Male",13
7719,"M647-VJ7","Female",13
7720,"9H7T-23M","Male",13
7721,"LYCX-N26","Female",13
7722,"KNHF-62Z","Male",13
7723,"2J3H-VNX","Female",13
7724,"LLC5-ZF7","Male",13
7725,"L8W9-D5Y","Female",13
7726,"KNHN-7H9","Male",13
7727,"M213-RSR","Female",13
7728,"MS89-51B","Male",13
7729,"MS89-RMK","Female",13
7730,"GS4P-TKS","Male",13
7731,"24R3-34W","Female",13
7732,"2Z35-FWN","Male",13
7733,"KK1G-DVT","Female",13
7734,"KK1G-DF4","Male",13
8132,"9NSH-J3W","Male",13
8133,"L4JV-TC1","Female",13
8134,"MMLC-FWQ","Male",13
8136,"LTLL-9ZF","Male",13
8137,"G7FR-89L","Female",13
8138,"LZFT-26P","Male",13
8139,"L16V-2JK","Female",13
8148,"LJP2-VHC","Male",13
8149,"LTCT-TYY","Female",13
8150,"GGWK-6WH","Male",13
8151,"LV58-1DS","Female",13
8152,"L1DN-SVG","Male",13
8153,"MRHD-KV1","Female",13
8154,"LHGL-PNM","Male",13
8155,"9CXJ-RQ8","Female",13
