"QID","fs","article"
"Q129756","LHCY-3Y8","https://en.wikipedia.org/wiki/George_W._Thompson_(politician)"
"Q130221","LD7M-NZ3","https://en.wikipedia.org/wiki/Frederick_II,_Holy_Roman_Emperor"
"Q155979","GPJ1-TYQ","https://en.wikipedia.org/wiki/Alexei_Navalny"
"Q156058","LB7G-8XY","https://en.wikipedia.org/wiki/George_F._Kennan"
"Q76556","LZX5-9ZD","https://en.wikipedia.org/wiki/Richard_Dedekind"
"Q76586","9QP3-5L6","https://en.wikipedia.org/wiki/Karl_Kautsky"
"Q76639","KHCQ-GQT","https://en.wikipedia.org/wiki/Philip_Johan_von_Strahlenberg"
"Q76684","K41S-LG1","https://en.wikipedia.org/wiki/Simon_Marius"
"Q84165","93FG-F44","https://en.wikipedia.org/wiki/Hans_Kelsen"
"Q84204","KH25-DJ5","https://en.wikipedia.org/wiki/Theodor_K%C3%B6rner_(president)"
"Q84238","LYLR-V4V","https://en.wikipedia.org/wiki/Peter_Drucker"
"Q84263","M79P-9PW","https://en.wikipedia.org/wiki/Wilhelm_Miklas"
"Q106762","G38V-NBJ","https://en.wikipedia.org/wiki/George_Porter"
"Q106775","GM3Z-CTF","https://en.wikipedia.org/wiki/Richard_Harris"
"Q107002","LWFK-DSL","https://en.wikipedia.org/wiki/Evelyn_Waugh"
"Q130311","LR45-GR8","https://en.wikipedia.org/wiki/George_Michael"
"Q131149","LC5F-1M4","https://en.wikipedia.org/wiki/Henry_David_Thoreau"
"Q156178","99ZH-SD3","https://en.wikipedia.org/wiki/Leslie_Howard"
"Q156190","LB1H-KXR","https://en.wikipedia.org/wiki/Peter_II_of_Portugal"
"Q156321","LYFQ-PQY","https://en.wikipedia.org/wiki/Jan_Neruda"
"Q156494","M5H8-XZ8","https://en.wikipedia.org/wiki/Anton%C3%ADn_Novotn%C3%BD"
"Q76703","97L1-6DB","https://en.wikipedia.org/wiki/Anthony_Fokker"
"Q76707","KZY3-7V3","https://en.wikipedia.org/wiki/Wilhelm_Eduard_Weber"
"Q76927","LD34-C4T","https://en.wikipedia.org/wiki/Mary_of_Teck"
"Q76997","KCQJ-RWX","https://en.wikipedia.org/wiki/Moses_Mendelssohn"
"Q84475","M8VT-3T2","https://en.wikipedia.org/wiki/Michael_Hainisch"
"Q84737","L4TQ-S1B","https://en.wikipedia.org/wiki/Werner_von_Trapp"
"Q85189","GGRS-81V","https://en.wikipedia.org/wiki/Arthur_Biedl"
"Q85710","LTM6-YMK","https://en.wikipedia.org/wiki/Erwin_Popper"
"Q85952","KVP1-ZTQ","https://en.wikipedia.org/wiki/Johann_Hinrich_Gossler"
"Q86220","GN2L-BL1","https://en.wikipedia.org/wiki/Johannes_Frischauf"
"Q86458","MMBR-N9T","https://en.wikipedia.org/wiki/Hugo_Kronecker"
"Q107402","G3SW-HZ6","https://en.wikipedia.org/wiki/Rosalyn_Sussman_Yalow"
"Q107626","LZQC-KGM","https://en.wikipedia.org/wiki/Seth"
"Q107626","LZ8C-H2T","https://en.wikipedia.org/wiki/Seth"
"Q107626","LKYG-Y9K","https://en.wikipedia.org/wiki/Seth"
"Q107626","LJB7-DZH","https://en.wikipedia.org/wiki/Seth"
"Q107656","LCDZ-HBZ","https://en.wikipedia.org/wiki/Jean_Simmons"
"Q107667","LY56-Y4K","https://en.wikipedia.org/wiki/John_Young_(astronaut)"
"Q107760","L5B7-LW2","https://en.wikipedia.org/wiki/Hans_Hildenbrand"
