"ascendancy","fid"
1415,"49D5-G9D"
1420,"G42S-HZ6"
1421,"GNPB-2R8"
1536,"GCWG-92Z"
1537,"GZY5-R5X"
1538,"G67D-TCY"
1539,"G67D-P9V"
1544,"LR1M-6CR"
1545,"L7NT-VP4"
1546,"MDS6-T4R"
1547,"LZVZ-SXC"
1568,"KL4K-QDG"
1569,"LDBG-3QK"
1570,"LC66-SRY"
1571,"27CW-6PJ"
1572,"L5YG-XYT"
1573,"K8D9-Y5J"
1574,"KLWS-WF4"
1575,"LCVV-VJB"
1576,"M15R-GKM"
1577,"LCDQ-TXD"
1578,"LLCC-G2V"
1579,"LZ66-K4N"
1602,"GLJB-MQQ"
1603,"L7N5-C9Z"
1664,"M95G-5ZY"
1665,"WB7C-DK6"
1668,"LVGM-FHR"
1669,"LTZ3-X5Z"
1672,"LLCP-ZWB"
1673,"L41Y-NZW"
1674,"LH3P-61W"
1675,"K1WK-2H4"
1676,"LZPX-VW5"
1677,"K4D9-R3L"
1678,"L134-LK5"
1679,"L2W3-WQJ"
1680,"LLCP-ZWB"
1681,"L41Y-NZW"
1682,"LH3P-61W"
1683,"K1WK-2H4"
1684,"LZPX-VW5"
1685,"K4D9-R3L"
1686,"L134-LK5"
1687,"L2W3-WQJ"
1688,"LV5Z-YQZ"
1689,"LHZZ-Y1F"
1690,"LZ8M-XGY"
1691,"26KX-2QL"
1696,"LCZS-VPZ"
1697,"LHSQ-5YH"
1698,"LHZN-5LF"
1699,"L8SK-J7R"
1700,"LTTF-QR5"
1701,"LHFR-W3F"
1702,"LZ2S-DJL"
1703,"LCZ3-41V"
1704,"LB79-2BV"
1705,"LC8T-966"
1706,"MC3Z-1ZY"
1707,"KH29-DBZ"
1708,"GQF1-7LZ"
1709,"KPDR-TZ3"
1710,"LZVW-576"
1711,"G8GT-P55"
1744,"LK53-1BF"
1745,"LK5Q-MXT"
1746,"2ZVG-C1Y"
1747,"947Z-SP2"
1748,"LZ4F-G53"
1749,"LHGS-1KZ"
1752,"MH47-CZR"
1753,"G22S-WBN"
1754,"GZ7X-D1L"
1755,"M4P8-FPF"
1756,"LZDB-H9Y"
1757,"GJ1F-TMC"
1758,"LK3T-SH8"
1759,"LK3T-39D"
1760,"93R2-HXH"
1761,"93R2-HF9"
1776,"K8PJ-8HT"
1778,"K8V7-GRH"
1779,"K8QL-79Y"
1780,"LB88-PJ4"
1781,"LZBL-49J"
1784,"LT3J-JQ7"
1785,"LT3J-N9K"
1786,"93R2-71L"
1787,"93R2-WM7"
1792,"G8JB-4JR"
1796,"LZPD-TZ6"
1797,"LHV9-JKY"
1798,"KH2X-8DZ"
1799,"KH38-KWH"
1800,"LKKM-HKP"
1801,"MQKV-94Y"
1802,"LK3T-Q5W"
1803,"LK3T-7QY"
1808,"KNMT-233"
1809,"LTQF-F8P"
1810,"LRGQ-GZB"
1811,"LR4P-4QK"
1812,"99VR-N9X"
1813,"LV5S-6Q4"
1814,"LBHW-WLL"
1815,"MVTH-QBV"
1816,"LZJP-C6Q"
1817,"LZJP-CV9"
1820,"LYGY-XPR"
1821,"LH5L-JHP"
1822,"M936-S4F"
1823,"2YR3-9WH"
1864,"LRT4-NCT"
1865,"LC8Q-Y4K"
1866,"LH6B-T45"
1867,"LYGX-8SK"
1868,"LH2J-K3M"
1869,"L8HV-1V4"
1870,"LH6B-TJG"
1871,"LZXG-2LB"
1872,"LRBT-195"
1873,"LVDL-6ZL"
1874,"975Y-VNS"
1875,"LR1L-ZR4"
1876,"KL43-Z4G"
1877,"L6B5-W31"
1878,"L2YW-H7C"
1879,"LYBS-GZY"
1880,"L6QQ-R5B"
1881,"LDQV-BFV"
1882,"LZG8-341"
1883,"LZG8-3CX"
1884,"KL43-Z4G"
1885,"L6B5-W31"
1886,"L2YW-H7C"
1887,"LYBS-GZY"
1888,"9C6H-5QW"
1889,"MD98-XCP"
1890,"LCLY-SW8"
1891,"MXJ2-QJ1"
1904,"LZ4K-BWF"
1905,"L2C7-NB2"
1906,"K872-QWC"
1907,"KZJS-8G1"
1908,"9K9R-YXL"
1909,"G3MX-HN7"
1910,"LT2W-Y4Y"
1911,"M1FH-MGC"
1920,"LZBG-MN5"
1921,"M2HX-2ZQ"
1922,"GGQY-VFY"
1923,"GGQY-L4B"
1924,"KN35-4D6"
1925,"KNZR-S8R"
1926,"LZBG-MN5"
1927,"M2HX-2ZQ"
1928,"L7XP-TB5"
1929,"LH11-TX4"
1930,"LB96-FPZ"
1931,"LB96-Z8Q"
1932,"L2C5-HJX"
1933,"LCLY-R44"
1934,"L5JC-QFG"
2032,"KNSQ-S2Y"
2033,"LXS3-FP7"
2034,"9CGX-RJ1"
2035,"9CGX-YKZ"
2036,"LV14-PSP"
2037,"L5GR-532"
2038,"M2XF-2S7"
2039,"L5YT-5B9"
2320,"LTSB-VDS"
2321,"M6B9-NKJ"
2322,"KL1Z-P21"
2323,"LH2R-7VL"
2324,"LCP8-V18"
2325,"9VK5-HDW"
2326,"KL1Z-P21"
2327,"LH2R-7VL"
2336,"LRCB-TVV"
2337,"LRC1-3M6"
2338,"LKMD-WD8"
2339,"LKMD-W61"
2344,"G8Y9-1P8"
2345,"MMB4-B4K"
2346,"KHWJ-XWX"
2347,"MM2Q-PB3"
2400,"L2ZW-HF1"
2401,"GFDQ-FK8"
2402,"M38T-XFK"
2403,"M5FC-HF4"
2432,"L8BV-JM5"
2433,"G2DD-MYZ"
2434,"G92L-4D6"
2435,"G922-G7S"
2496,"GX98-BL4"
2497,"GX9D-W7B"
2498,"LT61-RVZ"
2499,"GFJB-M98"
2512,"G2XS-YKX"
2513,"LRXH-QQT"
2514,"L6NP-M1F"
2515,"LCPT-7FB"
2516,"LYQH-XCW"
2517,"LCRJ-QLG"
2518,"LZTD-TKN"
2519,"MH99-JTW"
2520,"LZ19-R19"
2521,"LZPL-X5Y"
2522,"K8R2-YMP"
2523,"G3BL-8ZK"
2524,"K1D1-KPN"
2525,"LRF8-BJW"
2526,"L6RK-YWH"
2527,"LK7C-FCM"
2560,"G7VG-31P"
2568,"GGMY-KG4"
2569,"M4QW-XF8"
2570,"LCRS-Q5T"
2571,"93F2-MRS"
2572,"G3P4-CSP"
2573,"G95P-D76"
2574,"LJLW-YFB"
2575,"LR5W-Y48"
2600,"GZ78-RN1"
2601,"GZ3S-N5N"
2602,"MZ5Z-485"
2603,"L58F-8TH"
2604,"MBW6-L45"
2605,"MBQW-CDH"
2616,"GQ58-LX8"
2617,"GQ58-2YH"
2620,"M1NQ-6H6"
2621,"L611-BBK"
2622,"MBW6-L4N"
2623,"G8N8-136"
2626,"L6YN-FNW"
2627,"L62C-CX4"
2628,"LD1B-6X8"
2629,"LTTP-7BN"
2692,"GKZT-Y3V"
2693,"GKZT-B7J"
2694,"G75H-SGB"
2695,"G6FT-3K6"
2696,"GKZT-Y3V"
2697,"GKZT-B7J"
2698,"G75H-SGB"
2699,"G6FT-3K6"
2704,"GWNP-GJ8"
2705,"GH1Q-2BR"
2706,"GSV3-LDS"
2707,"GWSD-6JM"
2712,"LZ2Y-G4M"
2713,"9V4V-BZ2"
2714,"GQMW-PWZ"
2715,"GGFW-Q4J"
2716,"KG96-W77"
2717,"GNVZ-N82"
2718,"LX3R-GDZ"
2719,"LHR6-R2G"
2738,"GQRD-GKW"
2739,"GQSP-FPY"
2740,"LC2W-BQ8"
2741,"GQR6-9Z5"
2742,"GQRD-B3J"
2743,"LB68-H9X"
2744,"KJ8X-NGY"
2745,"LWX6-TXF"
2746,"MNRR-2MB"
2747,"LWFP-CP3"
2748,"LZJF-LKW"
2749,"M8FK-PFF"
2750,"MNRT-8HQ"
2751,"K2J1-B84"
2756,"LNQ7-B97"
2757,"L7DH-GL2"
2758,"L1L5-QSH"
2759,"KNX6-NDF"
2760,"LH2K-CD5"
2761,"GD31-9K6"
2762,"L1XG-D9V"
2763,"G888-N86"
2764,"L4WB-25P"
2765,"KN1G-XHX"
2766,"L26L-TSJ"
2767,"L26L-T6C"
2772,"GKZT-Y3V"
2773,"GKZT-B7J"
2774,"G75H-SGB"
2775,"G6FT-3K6"
2776,"GKZT-Y3V"
2777,"GKZT-B7J"
2778,"G75H-SGB"
2779,"G6FT-3K6"
2816,"LVH6-D64"
2817,"LHPM-DPT"
2818,"GHKT-53R"
2819,"GHKT-PNG"
2820,"LKPM-9TJ"
2821,"LR4M-VF8"
2822,"LZ6K-7NP"
2823,"L6QR-T3D"
2824,"LBQ3-96B"
2825,"L5BF-QWZ"
2826,"LR4M-VDN"
2827,"GLSN-NFG"
2828,"LVJZ-YSD"
2829,"LD98-Z79"
2830,"GHK1-TNK"
2831,"GHK1-BWQ"
2840,"GF9V-VZN"
3072,"LVZ8-W44"
3073,"GFT8-D7Q"
3074,"GW1M-RG9"
3075,"GW19-DFG"
3088,"LCMQ-16C"
3089,"KHHB-HB4"
3090,"LHXD-XP1"
3091,"KNDX-F29"
3092,"LV7K-8HZ"
3093,"L8BJ-2MB"
3094,"LZNP-9KM"
3095,"LJLF-Z6N"
3136,"L6KF-F5M"
3137,"LB1M-QH4"
3138,"LVWW-M3G"
3139,"LTHR-BF4"
3140,"2W9V-H9Z"
3141,"2P4M-8ZS"
3142,"LTJP-R2B"
3143,"KN45-N43"
