"ascendancy","fid"
160944,"G2F7-CHM"
160945,"G2MS-D81"
160946,"G2ZF-RMP"
160947,"G2Z5-WN8"
160948,"GZGF-PQ6"
160949,"GZ3X-YVN"
160956,"LDP8-WRP"
160957,"LRDT-SW4"
160958,"LZVJ-W8B"
160959,"2YR3-XK4"
160960,"G2F7-CHM"
160961,"G2MS-D81"
160962,"G2ZF-RMP"
160963,"G2Z5-WN8"
160964,"GZGF-PQ6"
160965,"GZ3X-YVN"
160972,"LDP8-WRP"
160973,"LRDT-SW4"
160974,"LZVJ-W8B"
160975,"2YR3-XK4"
160984,"L5Y6-FPT"
160985,"LZJ3-F4W"
160986,"M8QG-HX3"
160987,"M8QG-HXN"
161024,"L6JG-YQF"
161025,"LK39-WDC"
161026,"LKM1-MDT"
161027,"GDJC-L82"
161216,"G3LG-YG1"
161218,"L397-YBS"
161219,"LKQY-3RP"
161408,"LJG4-X8J"
161409,"L8W9-4FH"
161410,"MN3Z-SCH"
161411,"KZZ1-7SC"
161412,"LHRD-B97"
161413,"KLY2-VT8"
161414,"MLTW-GXL"
161415,"LYSG-PTM"
161416,"9VQK-J73"
161417,"9VQK-J7Q"
161420,"GLVZ-X3K"
161428,"GLVN-HBM"
161432,"GKHH-XR7"
161472,"GLQD-MVL"
161473,"LTHH-G96"
161474,"G2BL-51K"
161475,"GVF5-M3W"
161476,"MQLD-XK6"
161477,"KZGQ-RS3"
161478,"LRNV-Q28"
161479,"LRNV-3QH"
161480,"LDD5-B82"
161481,"LK7B-LKN"
161482,"MT7N-9RM"
161483,"MSJ1-HJM"
161484,"L44S-883"
161485,"LZPQ-Y91"
161486,"LBNZ-J84"
161487,"9SMG-NHF"
161504,"K4YF-4RD"
161505,"GMWZ-8T8"
161506,"GGJN-J96"
161664,"KHXB-N5N"
161665,"L5NL-44G"
161666,"G28V-FH8"
161667,"GJK6-Y8M"
161668,"LKH3-L9V"
161669,"LC2F-634"
161670,"G3RK-FD8"
161671,"GNNL-9N2"
161680,"LZNN-6RF"
161681,"KZSW-NHK"
161682,"LWFP-TGZ"
161683,"K2FB-XRP"
161768,"L8TM-T2D"
161769,"LYB1-HV7"
161770,"GFYX-75G"
161771,"G4SD-L1Z"
296968,"L81B-7HC"
296969,"K41W-JJN"
299392,"GQX1-1MG"
299393,"LKQJ-S75"
299398,"G4Q5-6P4"
299399,"G4Q5-NFV"
299408,"L5LG-6HB"
299409,"L5LG-K6T"
299410,"LRYR-KXH"
299411,"LRYR-2J7"
299414,"G4JN-33M"
299415,"G4JF-LD8"
299416,"GK1N-L59"
299418,"G2KT-8GR"
299419,"GLGT-4KX"
299424,"KNF8-X22"
299425,"LTXR-MWJ"
299426,"MX5C-SVQ"
299427,"MX5C-SV6"
299428,"GH3V-BK4"
307456,"GQRD-BK2"
307457,"G713-7SZ"
307458,"GSGY-H1Q"
307459,"M727-TJJ"
307460,"LRTY-35D"
307461,"LTRS-383"
307462,"GSGT-T6N"
307463,"GSGT-YNV"
307536,"GJM1-DML"
307537,"GJM1-Y4S"
307538,"G9Q6-151"
307539,"GDPH-Q6T"
307540,"LY8L-9VC"
307541,"LY8L-6WX"
307542,"94JV-DDC"
307543,"2ZSH-SHD"
307544,"GGK4-G57"
307545,"GGK4-QP3"
307546,"KCBV-TXG"
307547,"GHQS-Z21"
307548,"GWMF-W9K"
307549,"G6MZ-H7R"
307550,"K83X-N7P"
307551,"MZSH-VHP"
307552,"GNZS-S95"
307553,"G8KJ-TBK"
307554,"GGFN-N4G"
307555,"GGFN-MFK"
307556,"GSSK-3MB"
307557,"GQP8-TLT"
307558,"GVVH-2Q2"
307559,"GVVH-K9K"
307572,"KNHS-XPT"
307573,"GMSD-L53"
307574,"LKQF-L28"
307576,"LQR3-3DJ"
307577,"KJDL-KJ4"
307578,"LZC1-Y7N"
307579,"9VPQ-9JG"
307580,"LCMX-XJR"
307581,"LCRX-KB4"
307582,"G7ZK-T5K"
307583,"L1NR-Z4H"
321536,"LVJG-J7S"
321537,"G61C-YBW"
321552,"GF1H-TF2"
321554,"G252-74P"
321555,"GKZZ-DCB"
321556,"G826-FP6"
321557,"GS9K-72K"
321558,"GFF6-M15"
321559,"GCWZ-QLX"
321564,"L14R-1VT"
321565,"L2MP-G2G"
321567,"GJ6L-HZ2"
321616,"G6W1-GLQ"
321617,"G6W1-N9J"
321620,"GL71-GJ8"
321621,"K2XK-78P"
321622,"GQC4-VKQ"
321648,"L14R-1VT"
321649,"L2MP-G2G"
321656,"L632-MRQ"
321657,"L632-MBT"
321658,"L4JH-TBT"
321659,"MS12-W5H"
321728,"G7V3-K77"
321729,"LR52-R2H"
321730,"MBVL-3FL"
321731,"L8PF-PDC"
321732,"LVDG-WJP"
321733,"GKTQ-SD4"
321734,"KZPJ-VC3"
321735,"LT63-CSK"
321740,"GDPZ-HDP"
321741,"LH6L-6HW"
321742,"GSXY-W3Y"
321743,"G8ZP-RD3"
321752,"GJWG-LJT"
321753,"GJHJ-XL2"
321780,"9ZWK-B6M"
321781,"9ZWK-B69"
321784,"G64X-33N"
321785,"G64X-WCY"
321786,"LKBF-TXS"
321787,"G8H3-XZM"
321788,"GK18-NTC"
321824,"LYD8-L5P"
321825,"MDBQ-NXG"
321826,"KZPS-QPL"
321827,"KNS8-S6F"
321836,"G2BQ-RCP"
321837,"GFNW-5KQ"
321856,"LYD8-L5P"
321857,"MDBQ-NXG"
321858,"KZPS-QPL"
321859,"KNS8-S6F"
321868,"G2BQ-RCP"
321869,"GFNW-5KQ"
321892,"GML2-PGN"
321893,"GML2-PWF"
321894,"G2ZN-38V"
321895,"G2Z5-SLL"
321898,"GKDK-1ZY"
321899,"GKD2-YBQ"
321912,"G8FR-M71"
321913,"G8F5-1Q3"
321914,"G8FR-795"
321915,"G8FR-QMF"
321916,"L2LW-YXW"
321917,"MMPB-WW2"
321918,"K8BK-ZHD"
321919,"KHHR-S1K"
321924,"GML2-PGN"
321925,"GML2-PWF"
321926,"G2ZN-38V"
321927,"G2Z5-SLL"
321930,"GKDK-1ZY"
321931,"GKD2-YBQ"
321944,"G8FR-M71"
321945,"G8F5-1Q3"
321946,"G8FR-795"
321947,"G8FR-QMF"
321948,"L2LW-YXW"
321949,"MMPB-WW2"
321950,"K8BK-ZHD"
321951,"KHHR-S1K"
321968,"2DX2-FP6"
321969,"2D6G-XSD"
322048,"LBP8-8N7"
322049,"933P-WTC"
322050,"LL92-YM6"
322051,"GSFT-88P"
322052,"MTYX-C36"
322053,"M6YF-58V"
322432,"GZHR-HDW"
322433,"GZHR-MB8"
322436,"GJRY-F5F"
322437,"LKN4-3ZN"
322438,"L1WZ-CL6"
322439,"LZV1-DKH"
322816,"GWYV-7H6"
322817,"GWYV-ZL2"
322818,"GWYV-KXL"
322819,"GWYV-6FW"
322820,"KFP2-8K5"
322821,"KZC6-KBG"
322822,"KHX8-TMR"
322823,"MF5K-GVJ"
322826,"GLVZ-2JV"
322828,"LRB9-1M3"
322829,"G6V3-WFD"
322830,"L1J8-KH1"
322831,"L1J8-CZ7"
322946,"LJ5B-HNV"
322947,"L5DW-2PW"
322948,"9CM3-HFJ"
322949,"L14G-BQW"
322950,"GSW8-RS5"
322951,"GSW8-Y5X"
322952,"GSJP-X6W"
322953,"GS2K-WFB"
322954,"937C-6ZZ"
322955,"GSZJ-YBM"
322956,"G8S6-K1N"
322957,"L2X2-6WR"
322958,"L11Q-717"
322959,"GLXM-93N"
322960,"LBZQ-4Q8"
322961,"GLVL-XFH"
322962,"G3BK-WKB"
322963,"LBZQ-5XH"
322964,"9W1B-J6S"
322965,"LZX5-V2T"
322966,"KXP3-VTS"
322967,"G299-GBL"
322968,"LH16-VGD"
322969,"LVL7-NHM"
322970,"MXN3-5GJ"
322971,"LRQW-K89"
322972,"LBNZ-GBF"
322973,"LBNZ-YZ1"
322974,"LBM4-9GT"
322975,"L5BC-D1G"
323008,"G93Q-9D8"
323009,"G93Q-JQH"
323328,"GSN1-DYB"
323329,"GQCW-88G"
323330,"GX63-CJB"
323331,"LZFB-3YV"
323334,"L2TT-G51"
323335,"L2TT-G14"
323336,"G2XW-QWD"
323338,"GF1J-5T8"
323339,"GSTQ-S4B"
323340,"G4HR-QMN"
323341,"GHJ6-RV3"
323360,"GKWG-S38"
323361,"G88L-GXN"
323364,"KC1G-TL5"
323365,"GGVZ-PSZ"
323536,"LV42-QKH"
