"fid","batch"
"LT45-9RY",1
"LT45-QNY",1
"G7CB-PWB",1
"LR9T-GCT",1
"LR9T-K1H",1
"LH6K-4SR",1
"K8K2-3VG",1
"L2SF-C53",1
"LY4H-TSJ",1
"LDMP-3GZ",1
"LDMP-3YG",1
"LKKM-HV9",1
"G481-DZK",1
"LTVD-9KZ",1
"LC8L-517",1
"L8YT-5DH",1
"L8YT-58F",1
"LH4H-TZ2",1
"GV46-YZ3",1
"KNQJ-749",1
"KN77-YKF",1
"LHVN-SMK",1
"LZ21-81H",1
"LVX9-THW",1
"MG35-3MM",1
"LJKW-RPX",1
"L6CH-WM6",1
"9WYW-R62",1
"LV52-SXP",1
"LDL9-RNQ",1
"MFDQ-RHW",1
"DZB4-KFV",1
"LKF5-N3C",1
"LZGR-5LC",1
"L5YV-GS5",1
"LHW9-JQK",1
"2MJ4-ZXD",1
"LCT4-RKR",1
"MG1W-N1H",1
"LCYQ-M7Q",1
"LZ25-2N3",1
"LZKW-MTM",1
"9C3R-L5W",1
"LV12-SYM",1
"LKN9-H4D",1
"LHTM-W9G",1
"9MC5-XJB",1
"LHYH-P65",1
"LH38-X9B",1
"KZ4G-TZG",1
"LTCX-J3D",1
"LZL3-28X",1
"K2Y1-YHS",1
"K244-VCB",1
"LLCM-V5L",1
"LZCT-RFR",1
"LZG4-W67",1
"KHG4-B2G",1
"KP7K-SQ6",1
"LVP9-HZX",1
"LDJL-DSG",1
"LR24-1R6",1
"LR24-119",1
"LH77-1T1",1
"MRFR-PJW",1
"LDTX-F6G",1
"LZJP-T5K",1
"M9YQ-FY6",1
"LKN9-TH4",1
"LYB8-8WW",1
"MKZZ-DJN",1
"LDZN-KJN",1
"LRQS-TPB",1
"LWX5-LLN",1
"L2J4-VN4",1
"LZF3-XZR",1
"97FH-CGG",1
"GMHV-K3W",1
"MKCV-YF1",1
"LCY4-H51",1
"L5NW-P4F",1
"LRF8-WJK",1
"LBZT-DHR",1
"MVSB-QZ8",1
"LCC4-7F4",1
"LDF7-LRP",1
"GW3B-X4R",1
"6MW2-M4Y",1
"LZGJ-9XM",1
"99SQ-8R6",1
"K2XN-3M9",1
"LJRL-VNW",1
"MLZ1-77R",1
"KNHW-GLH",1
"KNHW-9PW",1
"LZFD-JW4",1
"KLFQ-Z4W",1
"LT3J-BXN",1
"93WR-TBF",1
"GJB4-8NR",1
"GGQY-JDZ",1
"M2ML-68T",1
"LZNF-9WC",1
"L2XJ-FCY",1
"MF9F-3TD",1
"LJPN-G4F",1
"LKFG-K4Q",1
"LZKV-7BP",1
"FLSD-5Z4",1
"LCC7-LQY",1
"LKKM-D3W",1
"L2C5-4PM",1
"L2C5-4BD",1
"LCLY-R45",1
"K6MS-9WW",1
"LVP9-BT7",1
"LZKD-8Q1",1
"G6R2-1WH",1
"LCPP-SSN",1
"9XB1-8XY",1
"CM5F-GC5",1
"MVB8-TK8",1
"LR8R-S2P",1
"M3TL-K9N",1
"LZ4Z-H4H",1
"LZ6X-TXC",1
"LR99-J8V",1
"G89N-2LN",1
"LZLK-WD5",1
"LKSL-K3W",1
"LCP8-QKF",1
"L85P-G46",1
"KGC8-L5J",1
"GHCM-9TB",1
"LTRK-HMK",1
"9Q2X-TLS",1
"MX8D-7KG",1
"MX8D-72C",1
"GH1X-28W",1
"GH1X-TH2",1
"LJ1X-SBK",1
"LJ1X-39Q",1
"L2ZW-CDV",1
"MGQ3-VBH",1
"GFDQ-XML",1
"GFD3-1C9",1
"L2J3-D1V",1
"LZV8-ZMW",1
"GFDQ-MY9",1
"G26C-QYK",1
"LY8D-MYD",1
"GFWM-6JS",1
"GX9D-HBZ",1
"GX9D-9FW",1
"GFJY-B71",1
"KZVN-7G4",1
"GFKV-Q7N",1
"L8QL-7KH",1
"K8V7-2LY",1
"GK6R-S96",1
"LV3W-V25",1
"LX2W-S8S",1
"LX2W-D3P",1
"GNFG-6JC",1
"GF14-SFP",1
"GW6N-YR2",1
"97WL-WDT",1
"L51R-RWV",1
"KCRK-VG9",1
"LCX2-MXJ",1
"LCX2-9QQ",1
"G3ZV-VDT",1
"L19P-7M4",1
"97D6-6VL",1
"2Z39-TMS",1
"G8FH-DFL",1
"GS2Z-352",1
"M3ZB-GN3",1
"MMVD-1YN",1
"LDKC-H19",1
"LBZT-LDM",1
"MQX1-ZC8",1
"2WN2-CTJ",1
"LCJW-76F",1
"M4QW-XFQ",1
"LT52-7C2",1
"KCJY-7V8",1
"9ZZW-JJ9",1
"LVN4-L1P",1
"LH3G-3R8",1
"LH51-TR2",1
"LLHB-4LG",1
"LJ26-M8D",1
"9V72-SF1",1
"GDL4-3PV",1
"GDQ2-SWY",1
"LZ2R-46Z",1
"GQKP-F47",1
"GQLK-FQM",1
"GK3M-8FB",1
"GQLK-J8L",1
"G3YY-8G1",1
"MXHL-3CF",1
"LHRY-PJ9",1
"LH8K-83N",1
"LCMF-6XW",1
"LHR8-KRX",1
"G4VF-F23",1
"G31V-Z7J",1
"LB88-3W7",1
"GJ96-SKH",1
"GKGF-XSV",1
"G9SG-1S2",1
"L4Y2-GGX",1
"LVSZ-KDD",1
"GQH9-KGX",1
"GQH9-T5S",1
"GSMP-W34",1
"KHP7-532",1
"KZ2G-MC7",1
"MTCZ-GW1",1
"LTPW-BJV",1
"LZ6S-3DR",1
"LZDS-SXX",1
"LZD8-HP5",1
"GHHB-76M",1
"GCGM-X93",1
"G9Z1-RFP",1
"GJ7X-NVS",1
"94KY-5WF",1
"LX3R-GFG",1
"27S1-515",1
"GN2Q-9CK",1
"GSQH-T1S",1
"GSQH-RTB",1
"LZXY-GZ6",1
"LZXY-G7B",1
"G2YM-2R7",1
"FBSG-ZR8",1
"M8F2-CKR",1
"9V33-4M4",1
"C891-9MH",1
"L4M5-JX9",1
"L4M5-J2Z",1
"LT84-P6X",1
"L8MV-L8Q",1
"M81B-5KL",1
